Institution,Amount,canton
Abt. Industriegüter- & Technologiemarketing Inst. für Marketing und Unternehmensführung Universität Bern,5.345,BE
Abt. für Pädiatrische Intensivbehandlung Medizinische Universitäts-Kinderklinik Inselspital,3.6,address unfound
Abteilung Biochemie Biozentrum Universität Basel,12.2,BS
Abteilung Gastroenterologie Departement Klinische Forschung Universität Bern,180.0,BE
Abteilung Marketing Inst. für Marketing und Unternehmensführung Universität Bern,7.0,BE
Abteilung Molekulare Pathobiologie Vetsuisse-Fakultät Universität Bern,180.0,BE
Abteilung Pharmakologie/Neurobiologie Biozentrum der Universität Basel,10.45,BS
Abteilung Populationsgenetik Institut für Ökologie und Evolution Universität Bern,5.61,BE
Abteilung c2d Zentrum für Demokratie Aarau Universität Zürich,8.2,ZH
Abteilung für Hochleistungskeramik Eidg. Materialprüfungs- und Forschungsanstalt (EMPA),1.87,address unfound
Abteilung für Neuropsychologie Zentrum für Kognitionswissenschaften Universität Bremen,7.87,Institution not in Switzerland
Alaska Volcano Observatory United State Geological Survey,11.35,Institution not in Switzerland
Anatomisches Institut Universität Zürich,4.111,ZH
Anderson School of Management (UCLA) University of California,12.0,Institution not in Switzerland
Anthropologisches Institut und Museum Universität Zürich-Irchel,5.61,address unfound
Aquatic Ecology  Eawag,9.5,address unfound
Architektur und Bauprozess Institut für Technologie in der Architektur ETH Zürich,0.75,ZH
Archivio di Stato del Canton Ticino,5.61,TI
Armenian Agricultural Academy,50.0,address unfound
Ashworth Laboratories Institute of Evolutionary Biology The University of Edinburgh,1.76,Institution not in Switzerland
Atmospheric and Environmental Research Inc.,10.5,address unfound
BESSY GmbH Berliner Synchrotron,5.79,address unfound
Bangor University School of History Welsh History and Archeaology,11.325,Institution not in Switzerland
Bielefeld Graduate School in History and Sociology Bielefeld University,4.3,Institution not in Switzerland
Bioengineering Institute University of Auckland Level 6,13.16,address unfound
Biozentrum der Universität Basel Systembiologie,120.0,address unfound
Botanisches Institut Universität Basel,5.2,BS
